episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,time_seconds,time_limit
0,2000,2000,-2467.8,-12339.0,0.41704222685097525,0,0,0,0,0,11.9546639919281,True
1,4000,2000,-1149.2,-5746.0,0.3993680884676145,0,0,0,0,0,25.558609008789062,True
2,6000,2000,-904.4,-4522.0,0.26321381142098277,0,0,0,0,0,39.187824010849,True
3,8000,2000,-387.8,-1939.0,0.3526261585993822,0,0,0,0,0,52.739234924316406,True
4,10000,2000,-366.2,-1831.0,0.2279342723004696,0,0,0,0,0,66.31499218940735,True
5,12000,2000,-260.6,-1303.0,0.39357429718875503,0,0,0,0,0,78.57702088356018,True
6,14000,2000,-47.8,-239.0,0.505179282868526,0,0,0,0,0,91.88972496986389,True
7,16000,2000,-8.6,-43.0,0.22857142857142865,0,0,0,0,0,105.45294308662415,True
8,18000,2000,1.0,5.0,0.32000000000000006,0,0,0,0,0,118.985276222229,True
9,20000,2000,2.2,11.0,0.5454545454545454,0,0,0,0,0,132.56891012191772,True
10,22000,2000,1.2,6.0,0.6000000000000001,0,0,0,0,0,144.7150158882141,True
11,24000,2000,0.2,1.0,0.40000000000000013,0,0,0,0,0,158.0580768585205,True
12,26000,2000,0.0,0.0,0.32000000000000006,0,0,0,0,0,171.49465703964233,True
13,28000,2000,0.0,0.0,0.0,0,0,0,0,0,185.09093809127808,True
14,30000,2000,-8.4,-42.0,0.20725388601036276,0,0,0,0,0,198.77126598358154,True
15,32000,2000,2.0,10.0,0.28,0,0,0,0,0,211.10338878631592,True
16,34000,2000,2.2,11.0,0.21818181818181825,0,0,0,0,0,225.56771993637085,True
17,36000,2000,1.0,5.0,0.56,0,0,0,0,0,240.5629379749298,True
18,38000,2000,0.8,4.0,0.5,0,0,0,0,0,255.4559941291809,True
19,40000,2000,-8.6,-43.0,0.21188118811881185,0,0,0,0,0,270.46340799331665,True
20,42000,2000,-9.8,-49.0,0.21165048543689324,0,0,0,0,0,285.5058732032776,True
21,44000,2000,0.2,1.0,0.8,0,0,0,0,0,298.8473961353302,True
22,46000,2000,0.4,2.0,0.6000000000000001,0,0,0,0,0,313.6480939388275,True
23,48000,2000,-40.8,-204.0,0.3405405405405406,0,0,0,0,0,328.38353085517883,True
24,50000,2000,-9.6,-48.0,0.20990099009900987,0,0,0,0,0,342.8319821357727,True
25,52000,2000,-20.0,-100.0,0.3973333333333333,0,0,0,0,0,357.4917187690735,True
26,54000,2000,0.2,1.0,0.8,0,0,0,0,0,370.66401290893555,True
27,56000,2000,0.6,3.0,0.40000000000000013,0,0,0,0,0,385.11744689941406,True
28,58000,2000,0.0,0.0,0.0,0,0,0,0,0,399.5331618785858,True
29,60000,2000,0.2,1.0,0.8,0,0,0,0,0,413.96303510665894,True
30,62000,2000,-0.2,-1.0,0.19999999999999996,0,0,0,0,0,428.42013907432556,True
31,64000,2000,0.0,0.0,0.0,0,0,0,0,0,441.6354329586029,True
32,66000,2000,0.0,0.0,0.0,0,0,0,0,0,455.9616370201111,True
33,68000,2000,0.0,0.0,0.0,0,0,0,0,0,470.3305621147156,True
34,70000,2000,0.0,0.0,0.0,0,0,0,0,0,484.63147377967834,True
35,72000,2000,-0.2,-1.0,0.19999999999999996,0,0,0,0,0,499.04935908317566,True
36,74000,2000,0.0,0.0,0.0,0,0,0,0,0,513.6130139827728,True
37,76000,2000,0.0,0.0,0.0,0,0,0,0,0,526.5731780529022,True
38,78000,2000,0.0,0.0,0.0,0,0,0,0,0,541.0666811466217,True
39,80000,2000,0.0,0.0,0.0,0,0,0,0,0,555.3879218101501,True
40,82000,2000,0.0,0.0,0.0,0,0,0,0,0,569.9290890693665,True
41,84000,2000,0.0,0.0,0.0,0,0,0,0,0,584.157145023346,True
42,86000,2000,0.0,0.0,0.0,0,0,0,0,0,597.4591679573059,True
43,88000,2000,0.0,0.0,0.0,0,0,0,0,0,612.0944559574127,True
44,90000,2000,0.0,0.0,0.0,0,0,0,0,0,626.5773138999939,True
45,92000,2000,0.0,0.0,0.0,0,0,0,0,0,641.1203398704529,True
46,94000,2000,0.0,0.0,0.0,0,0,0,0,0,655.7985429763794,True
47,96000,2000,0.0,0.0,0.0,0,0,0,0,0,669.0479888916016,True
48,98000,2000,0.0,0.0,0.0,0,0,0,0,0,683.4718310832977,True
49,100000,2000,0.0,0.0,0.0,0,0,0,0,0,697.7903678417206,True
50,102000,2000,0.0,0.0,0.0,0,0,0,0,0,711.932767868042,True
51,104000,2000,0.0,0.0,0.0,0,0,0,0,0,726.1269290447235,True
52,106000,2000,-0.2,-1.0,0.19999999999999996,0,0,0,0,0,740.6172788143158,True
53,108000,2000,0.0,0.0,0.0,0,0,0,0,0,753.5769221782684,True
54,110000,2000,0.0,0.0,0.0,0,0,0,0,0,767.260528087616,True
55,112000,2000,0.0,0.0,0.0,0,0,0,0,0,780.8489949703217,True
56,114000,2000,0.0,0.0,0.0,0,0,0,0,0,794.2739078998566,True
57,116000,2000,0.0,0.0,0.0,0,0,0,0,0,807.7308268547058,True
58,118000,2000,0.0,0.0,0.0,0,0,0,0,0,820.0205099582672,True
59,120000,2000,0.0,0.0,0.0,0,0,0,0,0,833.4288921356201,True
60,122000,2000,0.2,1.0,0.8,0,0,0,0,0,846.8364679813385,True
61,124000,2000,0.2,1.0,0.3333333333333335,0,0,0,0,0,860.5861239433289,True
62,126000,2000,0.8,4.0,0.8,0,0,0,0,0,874.4012877941132,True
63,128000,2000,1.4,7.0,0.2857142857142858,0,0,0,0,0,887.355232000351,True
64,130000,2000,1.2,6.0,0.3272727272727274,0,0,0,0,0,901.5874900817871,True
65,132000,2000,0.2,1.0,0.8,0,0,0,0,0,915.6913299560547,True
66,134000,2000,0.0,0.0,0.32000000000000006,0,0,0,0,0,929.1531050205231,True
67,136000,2000,1.0,5.0,0.56,0,0,0,0,0,944.0859251022339,True
68,138000,2000,0.0,0.0,0.0,0,0,0,0,0,957.7767400741577,True
69,140000,2000,0.0,0.0,0.0,0,0,0,0,0,970.2271859645844,True
70,142000,2000,0.0,0.0,0.0,0,0,0,0,0,985.05943608284,True
71,144000,2000,0.0,0.0,0.0,0,0,0,0,0,999.9284310340881,True
72,146000,2000,0.0,0.0,0.0,0,0,0,0,0,1013.7312140464783,True
73,148000,2000,0.0,0.0,0.0,0,0,0,0,0,1027.784873008728,True
74,150000,2000,0.8,4.0,0.7,0,0,0,0,0,1040.062507867813,True
75,152000,2000,0.2,1.0,0.8,0,0,0,0,0,1053.7713420391083,True
76,154000,2000,3.0,15.0,0.32000000000000006,0,0,0,0,0,1067.0952780246735,True
77,156000,2000,1.4,7.0,0.4571428571428573,0,0,0,0,0,1080.6797218322754,True
78,158000,2000,0.0,0.0,0.0,0,0,0,0,0,1094.3259918689728,True
79,160000,2000,0.4,2.0,0.40000000000000013,0,0,0,0,0,1106.5549471378326,True
80,162000,2000,0.6,3.0,0.6666666666666667,0,0,0,0,0,1120.0066039562225,True
81,164000,2000,0.4,2.0,0.6000000000000001,0,0,0,0,0,1133.7067980766296,True
82,166000,2000,0.0,0.0,0.0,0,0,0,0,0,1147.1917638778687,True
83,168000,2000,0.0,0.0,0.0,0,0,0,0,0,1160.6482429504395,True
84,170000,2000,0.0,0.0,0.0,0,0,0,0,0,1174.6520900726318,True
85,172000,2000,0.0,0.0,0.0,0,0,0,0,0,1187.2154250144958,True
86,174000,2000,0.0,0.0,0.0,0,0,0,0,0,1200.970354795456,True
87,176000,2000,0.0,0.0,0.0,0,0,0,0,0,1214.1609678268433,True
88,178000,2000,0.0,0.0,0.0,0,0,0,0,0,1227.6837480068207,True
89,180000,2000,0.0,0.0,0.0,0,0,0,0,0,1241.1442081928253,True
90,182000,2000,-10.2,-51.0,0.20301507537688446,0,0,0,0,0,1253.0068619251251,True
91,184000,2000,0.0,0.0,0.0,0,0,0,0,0,1266.3393290042877,True
92,186000,2000,0.0,0.0,0.0,0,0,0,0,0,1279.5394659042358,True
93,188000,2000,0.0,0.0,0.0,0,0,0,0,0,1292.7017300128937,True
94,190000,2000,0.0,0.0,0.0,0,0,0,0,0,1305.9482610225677,True
95,192000,2000,0.0,0.0,0.0,0,0,0,0,0,1317.9384679794312,True
