episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,time_seconds,time_limit
0,2000,2000,-1178.0,-5890.0,0.4250081833060557,1038,1002,1002,86,14,11.680040121078491,True
1,4000,2000,-424.2,-2121.0,0.26669809097336805,654,675,675,81,21,24.75598907470703,True
2,6000,2000,-183.4,-917.0,0.5133956386292835,400,464,464,103,24,37.992048263549805,True
3,8000,2000,-155.5,-777.5,0.3003508771929826,205,286,286,105,23,51.25339698791504,True
4,10000,2000,-28.2,-141.0,0.22564102564102573,133,219,219,98,15,64.57597327232361,True
5,12000,2000,-14.1,-70.5,0.22055137844611528,23,143,143,123,24,76.45788335800171,True
6,14000,2000,-9.6,-48.0,0.24376278118609407,7,107,107,102,13,89.553640127182,True
7,16000,2000,-1.5,-7.5,0.3555555555555556,10,100,100,91,21,102.74586606025696,True
8,18000,2000,-10.4,-52.0,0.2643776824034336,3,113,113,110,23,115.86610722541809,True
9,20000,2000,-5.9,-29.5,0.5454545454545454,3,107,107,104,16,129.02881622314453,True
10,22000,2000,-7.4,-37.0,0.5523809523809524,0,92,92,92,16,140.9566831588745,True
11,24000,2000,-9.6,-48.0,0.2947368421052632,1,112,112,111,18,154.44047212600708,True
12,26000,2000,-6.0,-30.0,0.42000000000000015,1,90,90,90,18,167.8144121170044,True
13,28000,2000,-17.1,-85.5,0.21515892420537908,1,98,98,97,15,181.2243242263794,True
14,30000,2000,0.4,2.0,0.3411764705882354,3,110,110,107,18,194.61858010292053,True
15,32000,2000,-2.8,-14.0,0.42162162162162176,4,99,99,95,19,206.66010808944702,True
16,34000,2000,-7.6,-38.0,0.3789473684210527,1,97,97,96,13,219.87892198562622,True
17,36000,2000,-8.0,-40.0,0.2857142857142858,1,102,102,101,16,233.04582715034485,True
18,38000,2000,-18.3,-91.5,0.22189054726368163,0,100,100,100,21,246.24302315711975,True
19,40000,2000,-39.5,-197.5,0.56,5,102,102,97,13,259.38899993896484,True
20,42000,2000,-8.0,-40.0,0.43999999999999995,1,95,95,95,21,272.55841612815857,True
21,44000,2000,-19.5,-97.5,0.21894736842105278,2,112,112,110,15,284.6119701862335,True
22,46000,2000,-7.2,-36.0,0.40000000000000013,1,101,101,100,17,298.4296410083771,True
23,48000,2000,-6.6,-33.0,0.3666666666666667,0,107,107,107,23,311.8842861652374,True
24,50000,2000,-17.2,-86.0,0.21339950372208438,3,89,89,86,21,325.41874623298645,True
25,52000,2000,-7.8,-39.0,0.48888888888888893,5,90,90,85,14,339.26928210258484,True
26,54000,2000,-6.3,-31.5,0.5185185185185186,0,72,72,72,11,352.14653396606445,True
27,56000,2000,-27.5,-137.5,0.3949206349206349,2,93,93,91,18,366.447181224823,True
28,58000,2000,-8.1,-40.5,0.3310344827586207,0,100,100,100,17,381.21451711654663,True
29,60000,2000,-7.9,-39.5,0.42500000000000004,0,98,98,98,17,395.69036412239075,True
30,62000,2000,-17.5,-87.5,0.20585365853658533,3,99,99,96,26,410.0965211391449,True
31,64000,2000,-14.8,-74.0,0.21650485436893208,1,89,89,88,23,423.24472212791443,True
32,66000,2000,-8.8,-44.0,0.47058823529411775,0,119,119,119,17,437.61695528030396,True
33,68000,2000,-1.8,-9.0,0.6000000000000001,0,92,92,92,16,452.2577691078186,True
34,70000,2000,-2.1,-10.5,0.5230769230769232,0,108,108,108,13,466.7445340156555,True
35,72000,2000,-5.8,-29.0,0.2810810810810811,0,101,101,101,17,481.59456634521484,True
36,74000,2000,-9.1,-45.5,0.5058823529411764,1,110,110,109,21,496.65817308425903,True
37,76000,2000,-26.3,-131.5,0.38611987381703483,0,90,90,90,21,509.4480490684509,True
38,78000,2000,-7.9,-39.5,0.36923076923076925,1,102,102,101,17,524.5035421848297,True
39,80000,2000,-19.0,-95.0,0.22379746835443037,2,107,107,105,19,540.2613971233368,True
40,82000,2000,-10.1,-50.5,0.4444444444444444,0,110,110,110,9,554.2458410263062,True
41,84000,2000,-20.3,-101.5,0.2194174757281553,0,122,122,122,19,568.937548160553,True
42,86000,2000,-7.4,-37.0,0.5818181818181818,3,99,99,97,27,584.0356271266937,True
43,88000,2000,-39.2,-196.0,0.575,2,107,107,105,13,599.5475671291351,True
44,90000,2000,-5.1,-25.5,0.40816326530612246,0,106,106,106,13,613.7184791564941,True
45,92000,2000,3.9,19.5,0.5047619047619047,1,99,99,98,22,627.6694111824036,True
46,94000,2000,-7.0,-35.0,0.40000000000000013,0,109,109,109,19,641.5346670150757,True
47,96000,2000,-8.5,-42.5,0.36571428571428566,1,105,105,104,18,654.8895370960236,True
48,98000,2000,-9.2,-46.0,0.7,0,103,103,103,11,668.6260612010956,True
49,100000,2000,-8.2,-41.0,0.40000000000000013,1,102,102,101,18,682.379013299942,True
50,102000,2000,-5.7,-28.5,0.5333333333333334,0,101,101,101,18,696.1749460697174,True
51,104000,2000,-7.4,-37.0,0.476923076923077,0,93,93,93,17,709.953497171402,True
52,106000,2000,-37.9,-189.5,0.5890547263681591,2,101,101,100,14,724.9420051574707,True
53,108000,2000,-3.7,-18.5,0.4275862068965517,2,99,99,97,24,737.1840209960938,True
54,110000,2000,-18.0,-90.0,0.21756097560975607,1,109,109,108,23,750.5134241580963,True
55,112000,2000,-7.1,-35.5,0.2666666666666666,0,99,99,99,28,764.4575262069702,True
56,114000,2000,-7.2,-36.0,0.5111111111111111,0,97,97,97,23,778.5334861278534,True
57,116000,2000,-7.1,-35.5,0.33684210526315783,3,98,98,95,19,792.5062673091888,True
58,118000,2000,-8.9,-44.5,0.3047619047619048,0,106,106,106,19,805.2087061405182,True
59,120000,2000,-29.4,-147.0,0.3859237536656892,3,112,112,109,14,818.7127320766449,True
60,122000,2000,-0.5,-2.5,0.3826086956521739,2,116,116,114,21,832.2236251831055,True
61,124000,2000,-8.0,-40.0,0.3771428571428572,2,92,92,92,12,845.7918522357941,True
62,126000,2000,-7.0,-35.0,0.25142857142857156,5,102,102,97,20,859.3378460407257,True
63,128000,2000,-5.4,-27.0,0.2666666666666666,0,80,80,80,16,871.6109981536865,True
64,130000,2000,-9.1,-45.5,0.45517241379310347,0,113,113,113,22,885.1976232528687,True
65,132000,2000,-8.8,-44.0,0.40000000000000013,0,115,115,115,29,898.6919331550598,True
66,134000,2000,-4.2,-21.0,0.32380952380952377,2,96,96,94,16,912.2420201301575,True
67,136000,2000,-8.6,-43.0,0.4444444444444444,0,102,102,102,16,925.7859580516815,True
68,138000,2000,-7.6,-38.0,0.43333333333333335,1,107,107,106,21,939.3188712596893,True
69,140000,2000,-7.1,-35.5,0.37142857142857144,0,97,97,97,28,951.4523899555206,True
70,142000,2000,-8.2,-41.0,0.49230769230769234,1,101,101,100,19,965.0019841194153,True
71,144000,2000,-4.8,-24.0,0.30638297872340425,0,109,109,109,23,978.6470251083374,True
72,146000,2000,-9.0,-45.0,0.41600000000000015,0,116,116,116,18,992.400279045105,True
73,148000,2000,-7.5,-37.5,0.26,0,107,107,107,22,1006.0870070457458,True
74,150000,2000,-7.4,-37.0,0.44999999999999996,0,97,97,97,17,1018.5035831928253,True
75,152000,2000,-4.1,-20.5,0.25,0,106,106,106,27,1032.205679178238,True
76,154000,2000,-8.0,-40.0,0.56,0,102,102,102,22,1045.9130160808563,True
77,156000,2000,-8.4,-42.0,0.38095238095238093,0,104,104,104,22,1059.6419341564178,True
78,158000,2000,-8.0,-40.0,0.3520000000000001,3,104,104,102,24,1073.397185087204,True
79,160000,2000,-8.1,-40.5,0.4421052631578948,0,97,97,97,16,1085.906171321869,True
80,162000,2000,-8.2,-41.0,0.4222222222222223,1,99,99,98,17,1099.5885980129242,True
81,164000,2000,-19.1,-95.5,0.2091370558375636,2,109,109,107,20,1113.5924952030182,True
82,166000,2000,-4.3,-21.5,0.21463414634146338,0,97,97,97,14,1127.5641422271729,True
83,168000,2000,-7.0,-35.0,0.22399999999999998,0,89,89,89,19,1141.6130833625793,True
84,170000,2000,-8.2,-41.0,0.27826086956521734,0,94,94,94,14,1156.7475850582123,True
85,172000,2000,-8.1,-40.5,0.28965517241379324,0,102,102,102,21,1169.79159617424,True
86,174000,2000,-8.3,-41.5,0.4181818181818182,0,101,101,101,18,1184.0867540836334,True
87,176000,2000,-7.8,-39.0,0.5272727272727273,0,99,99,99,25,1198.3748931884766,True
88,178000,2000,-16.7,-83.5,0.20824742268041252,0,84,84,84,15,1212.6545140743256,True
89,180000,2000,-7.3,-36.5,0.3783783783783785,0,104,104,104,19,1226.8962621688843,True
90,182000,2000,-8.7,-43.5,0.29433962264150937,1,114,114,113,21,1239.8665239810944,True
91,184000,2000,-16.8,-84.0,0.21621621621621623,0,109,109,109,21,1254.205099105835,True
92,186000,2000,-6.4,-32.0,0.4615384615384617,0,87,87,87,15,1268.5759150981903,True
93,188000,2000,-7.7,-38.5,0.3076923076923077,0,98,98,98,19,1282.8406012058258,True
94,190000,2000,-8.0,-40.0,0.496,2,106,106,104,24,1297.0427069664001,True
95,192000,2000,-8.5,-42.5,0.45333333333333337,2,108,108,106,23,1310.064697265625,True
96,194000,2000,-6.4,-32.0,0.36923076923076925,0,83,83,83,19,1324.303785085678,True
97,196000,2000,-7.5,-37.5,0.42666666666666675,0,96,96,96,21,1338.4664211273193,True
98,198000,2000,-6.4,-32.0,0.40000000000000013,3,95,95,93,21,1352.76163315773,True
99,200000,2000,-9.0,-45.0,0.32000000000000006,0,106,106,106,18,1366.9511790275574,True
100,202000,2000,-41.1,-205.5,0.29449929478138226,0,130,130,130,23,1381.1311082839966,True
101,204000,2000,-8.7,-43.5,0.4521739130434783,2,106,106,104,19,1393.9015502929688,True
102,206000,2000,-5.5,-27.5,0.43999999999999995,0,96,96,96,29,1408.1705241203308,True
103,208000,2000,-6.4,-32.0,0.3707317073170733,1,80,80,80,14,1422.3776903152466,True
104,210000,2000,-7.5,-37.5,0.23111111111111104,0,96,96,96,21,1436.609316110611,True
105,212000,2000,-8.5,-42.5,0.32000000000000006,0,109,109,109,24,1450.8187971115112,True
106,214000,2000,-9.2,-46.0,0.48484848484848486,0,117,117,117,27,1463.3696930408478,True
107,216000,2000,-6.1,-30.5,0.3764705882352941,0,98,98,98,17,1477.2891521453857,True
108,218000,2000,-7.4,-37.0,0.575,0,99,99,99,25,1491.3589823246002,True
109,220000,2000,-7.8,-39.0,0.41481481481481497,0,107,107,107,21,1505.4630222320557,True
110,222000,2000,-2.6,-13.0,0.3151515151515152,2,104,104,102,14,1519.5511021614075,True
111,224000,2000,-7.5,-37.5,0.27428571428571424,0,105,105,105,24,1532.401298046112,True
112,226000,2000,-8.0,-40.0,0.48,3,114,114,113,24,1547.5821928977966,True
113,228000,2000,-7.8,-39.0,0.40000000000000013,1,102,102,101,22,1561.8390452861786,True
114,230000,2000,-4.6,-23.0,0.5061224489795919,0,97,97,97,21,1576.0855419635773,True
115,232000,2000,-8.3,-41.5,0.375,0,95,95,95,14,1590.1855311393738,True
116,234000,2000,-8.2,-41.0,0.47142857142857153,0,91,91,91,13,1604.3776772022247,True
117,236000,2000,-6.8,-34.0,0.4095238095238096,3,106,106,103,18,1617.2378060817719,True
118,238000,2000,-8.2,-41.0,0.2787878787878788,0,98,98,98,16,1631.338501214981,True
119,240000,2000,-8.5,-42.5,0.40000000000000013,0,101,101,101,16,1645.5808081626892,True
120,242000,2000,-8.7,-43.5,0.40000000000000013,0,112,112,112,25,1659.913803100586,True
121,244000,2000,-8.9,-44.5,0.38095238095238093,2,117,117,115,28,1674.030314207077,True
122,246000,2000,-7.4,-37.0,0.32499999999999996,0,94,94,94,20,1686.826030254364,True
123,248000,2000,-8.5,-42.5,0.40000000000000013,0,111,111,111,26,1700.8473122119904,True
124,250000,2000,-7.5,-37.5,0.3466666666666667,0,87,87,87,14,1714.709372997284,True
125,252000,2000,-19.0,-95.0,0.218082191780822,2,108,108,107,22,1728.8492801189423,True
