episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,ia_penalty_sum,si_bonus_sum,condition,time_seconds,time_limit
0,2000,2000,846.0000000000036,4230.000000000018,0.3378860496932756,0,0,0,0,0,0.0,12752.00000000074,si,15.80298376083374,True
1,4000,2000,886.3999999999938,4431.999999999969,0.39994026985227094,0,0,0,0,0,0.0,12878.00000000125,si,32.02598285675049,True
2,6000,2000,960.200000000001,4801.000000000005,0.4189575924438813,0,0,0,0,0,0.0,14222.000000001066,si,48.27411770820618,True
3,8000,2000,1206.2399999999946,6031.1999999999725,0.1473272317283405,0,0,0,0,0,0.0,19209.20000000071,si,64.97150993347168,True
4,10000,2000,1427.3199999999924,7136.599999999962,0.26556063111284955,0,0,0,0,0,0.0,22647.599999999522,si,81.30563282966614,True
5,12000,2000,1455.240000000002,7276.200000000011,0.29058299661911,0,0,0,0,0,0.0,23329.20000000032,si,96.04027676582336,True
6,14000,2000,1726.0399999999966,8630.199999999983,0.24090751083404394,0,0,0,0,0,0.0,28391.199999999637,si,112.43340277671814,True
7,16000,2000,1875.879999999966,9379.39999999983,0.343453713316062,0,0,0,0,0,0.0,34998.39999999902,si,128.95051383972168,True
8,18000,2000,2835.3999999999746,14176.999999999873,0.31644635677505706,0,0,0,0,0,0.0,55525.99999999741,si,145.50262761116028,True
9,20000,2000,1811.3599999999783,9056.799999999892,0.45393891674609277,0,0,0,0,0,0.0,37474.799999999734,si,163.0792818069458,True
10,22000,2000,3403.80000000005,17019.00000000025,0.4703629365246005,0,0,0,0,0,0.0,67267.99999999587,si,178.15705275535583,True
11,24000,2000,3021.6799999999735,15108.399999999867,0.41911916549734385,0,0,0,0,0,0.0,64404.39999999585,si,194.94448566436768,True
12,26000,2000,3101.880000000011,15509.400000000056,0.4799841780074332,0,0,0,0,0,0.0,74254.4000000005,si,211.81527972221375,True
13,28000,2000,3152.4799999999905,15762.399999999952,0.37617140225799717,0,0,0,0,0,0.0,85042.39999999959,si,228.52510380744934,True
14,30000,2000,3005.479999999999,15027.399999999996,0.3701769314521344,0,0,0,0,0,0.0,91122.40000000039,si,245.4650149345398,True
15,32000,2000,3242.0000000000023,16210.000000000011,0.3347031702884953,0,0,0,0,0,0.0,73573.99999999802,si,261.5371518135071,True
16,34000,2000,3238.7200000000103,16193.600000000051,0.4162461605142087,0,0,0,0,0,0.0,75883.59999999861,si,278.87856888771057,True
17,36000,2000,2564.360000000021,12821.800000000105,0.6224952434329891,0,0,0,0,0,0.0,71060.79999999689,si,295.69723868370056,True
18,38000,2000,3321.760000000037,16608.800000000185,0.44047294461268494,0,0,0,0,0,0.0,102200.80000000047,si,312.87379574775696,True
19,40000,2000,2854.4000000000256,14272.000000000127,0.4070468207136173,0,0,0,0,0,0.0,74494.00000000013,si,329.8700816631317,True
20,42000,2000,3445.6400000000053,17228.200000000026,0.44174388951053056,0,0,0,0,0,0.0,79609.19999999779,si,346.9548087120056,True
21,44000,2000,2093.560000000035,10467.800000000174,0.296133098730768,0,0,0,0,0,0.0,56150.79999999497,si,362.525093793869,True
22,46000,2000,3721.0800000000104,18605.400000000052,0.296395433472568,0,0,0,0,0,0.0,73718.40000000008,si,380.3534736633301,True
23,48000,2000,3988.8800000000665,19944.400000000333,0.389796270817623,0,0,0,0,0,0.0,106766.40000000164,si,397.8532507419586,True
24,50000,2000,4314.2000000000235,21571.000000000116,0.390123648437416,0,0,0,0,0,0.0,90746.00000000172,si,414.66734170913696,True
25,52000,2000,5359.479999999966,26797.39999999983,0.4270591145997069,0,0,0,0,0,0.0,159772.39999999694,si,431.9107668399811,True
26,54000,2000,3484.0800000000477,17420.400000000238,0.39224674227099876,0,0,0,0,0,0.0,76412.40000000178,si,448.3547067642212,True
27,56000,2000,2288.639999999997,11443.199999999986,0.39842298986736746,0,0,0,0,0,0.0,37901.1999999973,si,465.5291419029236,True
28,58000,2000,2751.440000000027,13757.200000000134,0.4380465720709421,0,0,0,0,0,0.0,48767.19999999507,si,482.66940689086914,True
29,60000,2000,2967.239999999993,14836.199999999964,0.44159763904974114,0,0,0,0,0,0.0,51203.19999999808,si,499.8110167980194,True
30,62000,2000,4068.9600000000028,20344.800000000014,0.4041036427431812,0,0,0,0,0,0.0,97692.80000000066,si,517.0921306610107,True
31,64000,2000,3773.0400000000664,18865.20000000033,0.4314795339640567,0,0,0,0,0,0.0,105729.20000000208,si,532.7184166908264,True
32,66000,2000,4202.319999999996,21011.59999999998,0.27104259903862027,0,0,0,0,0,0.0,104739.5999999988,si,549.9097709655762,True
33,68000,2000,4270.880000000002,21354.40000000001,0.5859156357428379,0,0,0,0,0,0.0,149592.39999999868,si,566.7344648838043,True
34,70000,2000,4269.680000000024,21348.400000000118,0.4358682179538862,0,0,0,0,0,0.0,100102.40000000085,si,584.1716158390045,True
35,72000,2000,4097.479999999976,20487.399999999878,0.3682639241228953,0,0,0,0,0,0.0,115566.39999999909,si,601.0999867916107,True
36,74000,2000,1504.760000000056,7523.800000000279,0.35658631774905025,0,0,0,0,0,0.0,75128.80000000547,si,618.2704088687897,True
37,76000,2000,1407.559999999976,7037.79999999988,0.3822161630818903,0,0,0,0,0,0.0,35998.79999999719,si,633.4356536865234,True
38,78000,2000,1736.5600000000006,8682.800000000003,0.544455705532779,0,0,0,0,0,0.0,28858.799999998915,si,650.3024427890778,True
39,80000,2000,2913.520000000032,14567.600000000159,0.41796481078826786,0,0,0,0,0,0.0,51013.599999994876,si,667.1858348846436,True
40,82000,2000,2287.840000000001,11439.200000000004,0.38277975963703326,0,0,0,0,0,0.0,40309.19999999365,si,684.0416548252106,True
41,84000,2000,3374.7199999999916,16873.59999999996,0.48260523814757694,0,0,0,0,0,0.0,62609.599999996484,si,700.6652348041534,True
42,86000,2000,1958.1199999999742,9790.599999999871,0.38564894616984424,0,0,0,0,0,0.0,38857.599999995866,si,715.9587216377258,True
43,88000,2000,3381.280000000039,16906.400000000194,0.341752013661728,0,0,0,0,0,0.0,72530.39999999802,si,732.8140738010406,True
44,90000,2000,3720.2000000000903,18601.00000000045,0.4052878121985224,0,0,0,0,0,0.0,70417.99999999588,si,750.1249389648438,True
45,92000,2000,2963.440000000177,14817.200000000885,0.4667705256058605,0,0,0,0,0,0.0,84117.20000000221,si,766.6895327568054,True
46,94000,2000,1601.5200000000068,8007.600000000034,0.3518615426304612,0,0,0,0,0,0.0,35689.599999996346,si,783.3716926574707,True
47,96000,2000,3066.040000000013,15330.200000000066,0.32378593546377954,0,0,0,0,0,0.0,61557.19999999334,si,798.5558497905731,True
48,98000,2000,3938.640000000044,19693.20000000022,0.4328326860292895,0,0,0,0,0,0.0,83441.1999999966,si,815.5548768043518,True
49,100000,2000,3847.0000000000973,19235.000000000487,0.39399860742977255,0,0,0,0,0,0.0,84276.00000000132,si,832.6540417671204,True
50,102000,2000,1464.3200000000484,7321.600000000242,0.432471163204873,0,0,0,0,0,0.0,61991.5999999945,si,850.9088208675385,True
51,104000,2000,2695.1200000000194,13475.600000000097,0.5796331593135808,0,0,0,0,0,0.0,109383.60000000031,si,869.0869376659393,True
52,106000,2000,3816.7200000000353,19083.600000000177,0.44831441803982974,0,0,0,0,0,0.0,91137.60000000251,si,886.5024650096893,True
53,108000,2000,1798.6000000001063,8993.000000000531,0.4177916977000331,0,0,0,0,0,0.0,44803.999999992746,si,902.47576379776,True
54,110000,2000,1892.0399999999972,9460.199999999986,0.313575640479824,0,0,0,0,0,0.0,28831.199999999757,si,919.305300951004,True
55,112000,2000,3083.7600000000934,15418.800000000467,0.4757878982074477,0,0,0,0,0,0.0,58368.799999992305,si,936.2066407203674,True
56,114000,2000,431.47999999999956,2157.399999999998,0.43075315932272207,0,0,0,0,0,0.0,6674.40000000007,si,953.4417986869812,True
57,116000,2000,308.48000000000036,1542.400000000002,0.39637027299529093,0,0,0,0,0,0.0,5114.400000000059,si,971.5481388568878,True
58,118000,2000,486.3999999999981,2431.9999999999905,0.5561101376720907,0,0,0,0,0,0.0,7282.000000000109,si,988.1209127902985,True
59,120000,2000,522.0799999999981,2610.3999999999905,0.3922524852390825,0,0,0,0,0,0.0,7332.400000000124,si,1006.8428628444672,True
