episode,env_step,episode_len,return_mean,return_sum,return_gini,iml_truth,iml_detected,iml_sanctions,iml_false_pos,iml_overturned,time_seconds,time_limit
0,2000,2000,-1107.0,-5535.0,0.3264749733759318,0,0,0,0,0,13.252286911010742,True
1,4000,2000,-593.8,-2969.0,0.27104413347685696,0,0,0,0,0,27.292859077453613,True
2,6000,2000,-302.0,-1510.0,0.35757575757575766,0,0,0,0,0,41.155036211013794,True
3,8000,2000,2.2,11.0,0.41115537848605577,0,0,0,0,0,55.51432704925537,True
4,10000,2000,171.0,855.0,0.08280701754385977,0,0,0,0,0,69.74499106407166,True
5,12000,2000,211.4,1057.0,0.07757805108798488,0,0,0,0,0,82.66571497917175,True
6,14000,2000,182.0,910.0,0.10681318681318697,0,0,0,0,0,97.16768622398376,True
7,16000,2000,201.8,1009.0,0.055500495540138806,0,0,0,0,0,111.41436696052551,True
8,18000,2000,180.8,904.0,0.192920353982301,0,0,0,0,0,125.50318694114685,True
9,20000,2000,229.8,1149.0,0.07554395126196689,0,0,0,0,0,139.85084009170532,True
10,22000,2000,200.6,1003.0,0.02033898305084758,0,0,0,0,0,152.77768397331238,True
11,24000,2000,232.2,1161.0,0.05960378983634795,0,0,0,0,0,167.13907599449158,True
12,26000,2000,235.4,1177.0,0.08428207306711988,0,0,0,0,0,181.4198498725891,True
13,28000,2000,251.2,1256.0,0.08503184713375811,0,0,0,0,0,196.20394325256348,True
14,30000,2000,157.6,788.0,0.08477157360406107,0,0,0,0,0,211.42325019836426,True
15,32000,2000,249.2,1246.0,0.03434991974317825,0,0,0,0,0,225.40595293045044,True
16,34000,2000,138.8,694.0,0.04899135446685876,0,0,0,0,0,241.07452511787415,True
17,36000,2000,160.4,802.0,0.11172069825436415,0,0,0,0,0,256.9126720428467,True
18,38000,2000,169.0,845.0,0.2414201183431952,0,0,0,0,0,272.43220925331116,True
19,40000,2000,110.2,551.0,0.0733212341197822,0,0,0,0,0,287.9544072151184,True
20,42000,2000,211.4,1057.0,0.06471144749290447,0,0,0,0,0,303.0053880214691,True
21,44000,2000,227.4,1137.0,0.08970976253298169,0,0,0,0,0,316.6490650177002,True
22,46000,2000,116.0,580.0,0.0772413793103448,0,0,0,0,0,332.2673571109772,True
23,48000,2000,109.8,549.0,0.08087431693989067,0,0,0,0,0,347.8626549243927,True
24,50000,2000,105.0,525.0,0.14857142857142858,0,0,0,0,0,363.4071111679077,True
25,52000,2000,110.8,554.0,0.051985559566787076,0,0,0,0,0,378.86410903930664,True
26,54000,2000,110.2,551.0,0.1350272232304901,0,0,0,0,0,393.10255002975464,True
27,56000,2000,164.4,822.0,0.06715328467153281,0,0,0,0,0,408.46699810028076,True
28,58000,2000,84.0,420.0,0.08285714285714296,0,0,0,0,0,424.32356810569763,True
29,60000,2000,158.8,794.0,0.11183879093199,0,0,0,0,0,439.7805860042572,True
30,62000,2000,94.8,474.0,0.09451476793248959,0,0,0,0,0,455.5872702598572,True
31,64000,2000,146.0,730.0,0.07561643835616438,0,0,0,0,0,469.78446102142334,True
32,66000,2000,97.4,487.0,0.11991786447638608,0,0,0,0,0,485.2606110572815,True
33,68000,2000,170.2,851.0,0.11374853113983563,0,0,0,0,0,500.1548399925232,True
34,70000,2000,125.6,628.0,0.13757961783439487,0,0,0,0,0,515.5871460437775,True
35,72000,2000,114.2,571.0,0.0763572679509632,0,0,0,0,0,531.1223790645599,True
36,74000,2000,93.8,469.0,0.12110874200426447,0,0,0,0,0,546.7208821773529,True
37,76000,2000,123.4,617.0,0.11085899513776343,0,0,0,0,0,561.0942730903625,True
38,78000,2000,133.0,665.0,0.11849624060150377,0,0,0,0,0,576.5786170959473,True
39,80000,2000,98.0,490.0,0.07673469387755105,0,0,0,0,0,592.088073015213,True
40,82000,2000,234.4,1172.0,0.27576791808873735,0,0,0,0,0,606.5875680446625,True
41,84000,2000,130.6,653.0,0.12863705972434913,0,0,0,0,0,622.1688089370728,True
42,86000,2000,98.2,491.0,0.04562118126272918,0,0,0,0,0,636.70414686203,True
43,88000,2000,107.2,536.0,0.12238805970149258,0,0,0,0,0,652.5309109687805,True
44,90000,2000,77.0,385.0,0.09870129870129873,0,0,0,0,0,668.4620451927185,True
45,92000,2000,100.0,500.0,0.09840000000000004,0,0,0,0,0,684.1972389221191,True
46,94000,2000,119.6,598.0,0.1618729096989966,0,0,0,0,0,699.50053191185,True
47,96000,2000,103.8,519.0,0.1672447013487477,0,0,0,0,0,714.0125501155853,True
48,98000,2000,88.4,442.0,0.14208144796380084,0,0,0,0,0,729.7311191558838,True
49,100000,2000,195.2,976.0,0.14385245901639343,0,0,0,0,0,744.8568160533905,True
50,102000,2000,78.8,394.0,0.08832487309644677,0,0,0,0,0,760.8003060817719,True
51,104000,2000,110.2,551.0,0.08493647912885671,0,0,0,0,0,776.383220911026,True
52,106000,2000,78.8,394.0,0.07411167512690353,0,0,0,0,0,792.2793741226196,True
53,108000,2000,65.2,326.0,0.14110429447852768,0,0,0,0,0,806.8085141181946,True
54,110000,2000,78.0,390.0,0.06358974358974367,0,0,0,0,0,822.803013086319,True
55,112000,2000,87.0,435.0,0.1471264367816092,0,0,0,0,0,838.381735086441,True
56,114000,2000,96.4,482.0,0.24896265560165975,0,0,0,0,0,853.9554109573364,True
57,116000,2000,65.6,328.0,0.03658536585365857,0,0,0,0,0,869.840047121048,True
58,118000,2000,80.4,402.0,0.16815920398009965,0,0,0,0,0,884.2973392009735,True
59,120000,2000,124.4,622.0,0.20064308681672038,0,0,0,0,0,899.6591899394989,True
60,122000,2000,82.4,412.0,0.09611650485436907,0,0,0,0,0,915.2700071334839,True
61,124000,2000,65.2,326.0,0.042944785276073594,0,0,0,0,0,931.0059180259705,True
62,126000,2000,110.6,553.0,0.19240506329113938,0,0,0,0,0,946.4416041374207,True
63,128000,2000,87.8,439.0,0.16492027334851933,0,0,0,0,0,960.7822132110596,True
64,130000,2000,87.8,439.0,0.10387243735763096,0,0,0,0,0,976.4255118370056,True
65,132000,2000,169.6,848.0,0.08490566037735858,0,0,0,0,0,991.3971929550171,True
66,134000,2000,60.0,300.0,0.06533333333333347,0,0,0,0,0,1007.3254761695862,True
67,136000,2000,80.8,404.0,0.13366336633663378,0,0,0,0,0,1022.8315892219543,True
68,138000,2000,64.0,320.0,0.10000000000000009,0,0,0,0,0,1038.543909072876,True
69,140000,2000,75.6,378.0,0.09312169312169316,0,0,0,0,0,1052.9901881217957,True
70,142000,2000,82.2,411.0,0.10316301703163022,0,0,0,0,0,1068.7118110656738,True
71,144000,2000,83.8,419.0,0.21002386634844883,0,0,0,0,0,1084.1769380569458,True
72,146000,2000,70.6,353.0,0.09631728045325794,0,0,0,0,0,1100.0689589977264,True
73,148000,2000,75.6,378.0,0.06349206349206349,0,0,0,0,0,1115.629086971283,True
74,150000,2000,97.2,486.0,0.10946502057613183,0,0,0,0,0,1130.0553710460663,True
75,152000,2000,97.2,486.0,0.11193415637860094,0,0,0,0,0,1145.7223432064056,True
76,154000,2000,77.6,388.0,0.134020618556701,0,0,0,0,0,1161.4433012008667,True
77,156000,2000,124.8,624.0,0.21923076923076934,0,0,0,0,0,1176.7465620040894,True
78,158000,2000,79.4,397.0,0.10579345088161207,0,0,0,0,0,1192.5589940547943,True
79,160000,2000,69.8,349.0,0.13982808022922644,0,0,0,0,0,1207.0772211551666,True
80,162000,2000,116.2,581.0,0.18519793459552503,0,0,0,0,0,1222.5802538394928,True
81,164000,2000,74.8,374.0,0.08235294117647074,0,0,0,0,0,1238.331309080124,True
82,166000,2000,196.2,981.0,0.2748216106014272,0,0,0,0,0,1253.383356809616,True
